incident_id,dataset,technique_id,traceability_score,top_feature_1,top_feature_1_value,rule_count
f60bcdf65623,uwf24,T1110,1.0,flow_count,109,2
227b3fc33a25,uwf24,T1110,1.0,flow_count,102,2
1dbab3b6ced9,uwf24,T1110,1.0,flow_count,99,2
7b060fdd5f02,uwf24,T1110,1.0,flow_count,95,2
6c6c055ebe59,uwf24,T1110,1.0,flow_count,89,2
66a625db9bda,uwf24,T1110,1.0,flow_count,88,2
ecaea2f89704,uwf24,T1110,1.0,flow_count,87,2
d2c5a6b65071,uwf24,T1110,1.0,flow_count,87,2
c8395cbb8e26,uwf24,T1110,1.0,flow_count,84,2
af74226a8cf5,uwf24,T1110,1.0,flow_count,79,2
c5bd47d55f67,uwf24,T1110,1.0,flow_count,78,2
d6d7470674bc,uwf24,T1110,1.0,flow_count,78,2
80ca9a0b6558,sdn-syn,T1498,1.0,flow_count,3553,1
939a7ca3c8f7,bccc,T1498,1.0,flow_count,131089,2
4d9a58230cdb,bccc,T1498,1.0,flow_count,1847,1
79529f844d92,bccc,T1498,1.0,flow_count,1838,1
223b1805334c,bccc,T1498,1.0,flow_count,1765,1
c071266b8779,bccc,T1498,1.0,flow_count,1596,1
938b0d4937f4,bccc,T1498,1.0,flow_count,1578,1
1bd67ff20d8b,bccc,T1498,1.0,flow_count,1456,1
d922ebbc0238,bccc,T1498,1.0,flow_count,1325,1
6368242d5fbd,bccc,T1498,1.0,flow_count,1316,1
2ef9ea8d9f3e,bccc,T1498,1.0,flow_count,1238,1
bb3a3fadf717,bccc,T1498,1.0,flow_count,1171,1
fcd5941f1ad9,bccc,T1498,1.0,flow_count,1001,1
